Key;English;;;;;;;;;;;;;
steal_puppet;夺取傀儡国;;;;;;;;;;;;;
steal_puppet_short;傀儡国 $THIRD$;;;;;;;;;;;;;
steal_puppet_desc;Take a puppet from a third country and make it our puppet.;;;;;;;;;;;;;
steal_puppet_setup;从 $RECIPIENT$ 夺取 $THIRD$。;;;;;;;;;;;;;
cut_down_to_size;Cut Down to Size;;;;;;;;;;;;;
place_in_the_sun;Place in the Sun;;;;;;;;;;;;;
acquire_state;Acquire State;;;;;;;;;;;;;
take_from_sphere;夺取势力范围;;;;;;;;;;;;;
permanent_colonial_claim;Reconquer Colony;;;;;;;;;;;;;
permanent_colonial_claim_short;Reconquer Colony;;;;;;;;;;;;;
permanent_colonial_claim_desc;Acquire a state that is a rightful colony of ours according to the Great Powers Conference.;;;;;;;;;;;;;
permanent_colonial_claim_setup;Acquire $STATE$ from $RECIPIENT$.;;;;;;;;;;;;;
AGRESSION_WAR_NAME_REPARATIONS_PEU_CHL;$ORDER$太平洋战争;;;;;;;;;;;;;
AGRESSION_WAR_NAME_REPARATIONS_BOL_CHL;$ORDER$太平洋战争;;;;;;;;;;;;;
AGRESSION_WAR_NAME_REPARATIONS_CHL_PBC;$ORDER$邦联战争;;;;;;;;;;;;;
NORMAL_WAR_NAME_REPARATIONS_CHL_PBC;$ORDER$邦联战争;;;;;;;;;;;;;
NORMAL_WAR_NAME_REPARATIONS_FRA_MEX;$ORDER$ French Intervention in Mexico;;;;;;;;;;;;;
AGRESSION_CUT_DOWN_TO_SIZE_WAR_NAME_CHL_PBC;$ORDER$邦联战争;;;;;;;;;;;;;
NORMAL_CUT_DOWN_TO_SIZE_WAR_NAME_CHL_PBC;$ORDER$邦联战争;;;;;;;;;;;;;
NORMAL_WAR_NAME_REPARATIONS;$ORDER$$FIRST$-$SECOND$战争;;;;;;;;;;;;;
AGRESSION_WAR_NAME_REPARATIONS;$ORDER$$FIRST$侵略战争;;;;;;;;;;;;;
war_reparations;赔款;;;;;;;;;;;;;
war_reparations_desc;要求$RECIPIENT$赔款;;;;;;;;;;;;;
war_reparations_short;要求赔款;;;;;;;;;;;;;
war_reparations_setup;要求$RECIPIENT$赔款;;;;;;;;;;;;;
install_democracy_make_puppet;扶植民主政权;;;;;;;;;;;;;
install_democracy_make_puppet_desc;在该国建立一个民主的新政府;;;;;;;;;;;;;
install_democracy_make_puppet_short;在$RECIPIENT$扶植一个民主的新政府;;;;;;;;;;;;;
install_democracy_make_puppet_setup;在$RECIPIENT$扶植一个民主的新政府;;;;;;;;;;;;;
install_communism_make_puppet;扶植共产党政权;;;;;;;;;;;;;
install_communism_make_puppet_desc;在该国建立一个无产阶级领导的新政府;;;;;;;;;;;;;
install_communism_make_puppet_short;在$RECIPIENT$扶植一个无产阶级领导的新政府;;;;;;;;;;;;;
